ключ_клиента,total_spend,total_cashback,avg_cashback_rate,supermarket_share,diversity_score,n_active_categories,возраст,пол
1,5132758.0,7420.0,0.011685,0.2139167849904606,0.1621679493430608,16,30,M
2,1774402.0,44912.0,0.01176,0.3528268966413307,0.1235861042283596,4,34,F
3,2774705.0,27288.0,0.052476,0.1696772711892432,0.156641302568312,8,20,M
4,2040722.0,57412.0,0.029233,0.1632459768868216,0.1201731774602707,8,39,F
5,1560114.0,43570.0,0.03607,0.2035038611582162,0.1474661719641947,7,39,F
6,6672102.0,22283.0,0.073025,0.5554386086662007,0.1266706704190428,5,43,M
7,488968.0,27876.0,0.050972,0.2492025776060659,0.1205242549726559,3,32,M
8,1856874.0,0.0,0.051445,0.3136763355083111,0.0601474768664461,6,42,M
9,3585453.0,9403.0,0.013672,0.0382254902915331,0.1016090943050066,8,36,M
10,4686325.0,40025.0,0.041209,0.2605974879058825,0.1160150867136372,9,38,F
11,787993.0,0.0,4.2e-05,0.1170666398850137,0.1751670514341565,15,32,F
12,2519873.0,26188.0,0.022384,0.0443878222330474,0.0933684489380654,9,38,F
13,1122433.0,0.0,0.049116,0.4939163548059649,0.1014119311570759,15,44,F
14,1104143.0,0.0,0.038191,0.305220500029878,0.1414482854592822,13,30,M
15,1201925.0,13611.0,0.060506,0.5794416786369025,0.0802310821137819,6,37,M
16,2259738.0,28724.0,0.018626,0.391721492511792,0.0923479234249363,2,25,F
17,6264664.0,0.0,0.0677,0.4971299911524153,0.1691305641588167,1,21,F
18,2588191.0,0.0,0.009229,0.4251177325362138,0.1434664624627563,7,41,F
19,179270.0,49521.0,0.03111,0.4362549512935743,0.1297222936248816,15,31,M
20,3880452.0,44204.0,0.001862,0.4053716608796046,0.1133985754343519,14,30,M
21,2051230.0,4537.0,0.010218,0.26000159656287,0.1266678288409852,6,24,F
22,2191384.0,48822.0,0.033295,0.4424875342114887,0.133079055677471,7,16,M
23,128727.0,22632.0,0.029754,0.1977839083118814,0.2011650460156051,16,49,M
24,3325798.0,32697.0,0.015423,0.342556984172809,0.0776161326433159,12,44,F
25,1504565.0,55754.0,0.091951,0.4167115596204465,0.1119861864758124,15,34,F
26,250755.0,25209.0,0.07413,0.0949368532082748,0.0668997856161462,14,47,M
27,201867.0,39234.0,0.039839,0.2771453107214911,0.1756172864460563,10,28,F
28,5852639.0,77199.0,0.071793,0.5425162753698809,0.1516852406088144,2,40,F
29,726469.0,95283.0,0.064562,0.7865784156004538,0.0768662201870523,16,39,F
30,1036.0,0.0,0.044661,0.5760094221024248,0.1093732628377033,15,36,M
31,1889148.0,17930.0,0.035985,0.1030124045525349,0.0842414080352318,13,30,F
32,625538.0,55790.0,0.026274,0.1085809045591964,0.1416487384578805,6,36,M
33,2686241.0,0.0,0.042495,0.2631540207963714,0.1415172724019925,6,37,F
34,3036538.0,16275.0,6.6e-05,0.3282321241527186,0.0961700515819443,9,28,M
35,3044100.0,41395.0,0.056706,0.3790513856803359,0.0944406186366961,5,44,M
36,460075.0,34882.0,0.069783,0.2775454586370493,0.0845419549691271,4,36,M
37,1973294.0,34424.0,0.032695,0.5157789300434543,0.1630305832973184,12,17,M
38,1058080.0,19389.0,0.084854,0.4321759859790326,0.1192888184223639,9,21,M
39,4086411.0,70548.0,0.073691,0.1790119285851065,0.1140040385877132,9,33,M
40,877243.0,25417.0,0.03929,0.0811613333663098,0.070479499295162,6,60,F
41,1320277.0,0.0,0.017636,0.4268429118129594,0.0966771475571892,9,27,M
42,3909390.0,36266.0,0.03726,0.3127092409688763,0.0708688367271611,12,38,F
43,2207047.0,0.0,0.1156,0.3173642504306854,0.1484170893594997,4,34,M
44,2251115.0,17189.0,0.021902,0.5659706129934983,0.0939808207876007,13,36,F
45,2884323.0,44824.0,0.043172,0.3362085533449644,0.1611664808146886,9,40,M
46,6589506.0,52189.0,0.032029,0.1452945197830464,0.1004983316523202,4,37,F
47,2980628.0,52593.0,0.023821,0.5173200213906226,0.0963385192852137,8,34,M
48,5348998.0,86562.0,0.024578,0.1655765380162773,0.1929687933446687,14,35,M
49,3901480.0,13234.0,0.044779,0.3610658985273068,0.0702283587622085,4,44,F
50,1187982.0,52536.0,0.061044,0.4606274736494321,0.0608181973784635,11,38,M
51,1560896.0,15566.0,0.031395,0.377904913558357,0.0745351504093415,11,37,M
52,2668085.0,26092.0,0.013169,0.0,0.1577045495518707,5,38,F
53,2555071.0,7759.0,0.013133,0.4658494743604575,0.1287090211417775,12,43,F
54,3599122.0,12443.0,0.049257,0.553928103840561,0.0438628420521271,3,37,F
55,3742940.0,73760.0,0.069882,0.434306059912384,0.111894278784591,1,38,M
56,2845597.0,0.0,0.001037,0.1755175011187036,0.0798580234415924,1,30,F
57,4709959.0,87759.0,0.019075,0.0,0.1210911677645669,16,41,M
58,1584792.0,7907.0,0.070552,0.4086140537986097,0.1328712838321477,1,14,F
59,4297468.0,20828.0,0.055237,0.258052263177853,0.0770678375404249,5,37,F
60,4156910.0,63379.0,0.037534,0.7484348073099101,0.0766022510645786,12,39,M
61,856932.0,30078.0,0.043315,0.4353845832596643,0.1161680730647132,3,29,F
62,1371855.0,8457.0,0.001824,0.0,0.0975733964308083,6,25,M
63,4351507.0,16921.0,0.084857,0.1417646547295169,0.14441618562844,6,36,M
64,3500939.0,20109.0,0.028136,0.1678034231771401,0.0727880493375726,17,42,M
65,2705088.0,0.0,0.019891,0.3954397394096164,0.0929355052134856,12,30,F
66,274299.0,0.0,0.01142,0.2063112809184951,0.1343960047296106,9,51,F
67,1978118.0,26511.0,0.033325,0.1182071483871524,0.0995393977495531,14,42,M
68,1938683.0,33599.0,0.033757,0.4096877370489746,0.1101806299291408,7,35,F
69,2816057.0,62584.0,0.000168,0.1444483781685924,0.1288104621999623,4,35,F
70,1045000.0,13624.0,0.020451,0.6046244904250352,0.1346023383078023,2,48,F
71,2141643.0,0.0,0.078919,0.0,0.1744686157229791,6,43,M
72,775378.0,16412.0,0.040194,0.2451972677829243,0.0717970568226861,3,35,M
73,3312320.0,53694.0,0.070781,0.1100611178610573,0.1290702021549346,12,28,F
74,2718693.0,60055.0,0.041979,0.3284362638398745,0.1087024727526529,3,35,F
75,3212886.0,52966.0,0.030909,0.7478078108357981,0.0877984787437437,7,34,M
76,3702766.0,34305.0,0.070661,0.2248992609397079,0.1081397479100242,8,36,M
77,2877850.0,46951.0,0.054112,0.0,0.1054878213959651,15,37,M
78,3859228.0,6824.0,0.064032,0.3567606985168084,0.097386681740448,9,32,M
79,2785798.0,0.0,0.057621,0.4866177112088198,0.1014893648665792,16,17,F
80,2308501.0,22621.0,0.052141,0.1778738195572207,0.1553854339332943,1,34,F
81,1998488.0,0.0,0.028481,0.432058205955907,0.1153260205003134,7,51,M
82,672863.0,5436.0,0.043152,0.4468097044958414,0.1273905182120766,13,37,F
83,451633.0,36437.0,0.028503,0.1300893327450259,0.0549716360198978,7,38,F
84,4082452.0,48336.0,0.077141,0.3575695252123903,0.1196533319130986,11,21,M
85,1956542.0,20278.0,0.016635,0.0640476390447829,0.1549904405713529,2,35,F
86,2909940.0,39699.0,0.06986,0.5044345843475464,0.1180432531949993,9,46,F
87,4956299.0,32907.0,0.038432,0.3778008401465183,0.0723255568542866,6,43,F
88,2199658.0,12157.0,0.049503,0.4715168724356536,0.1299623316214968,7,37,M
89,1753232.0,0.0,0.089371,0.401446689884378,0.1044588662805627,8,38,M
90,3170824.0,59684.0,0.026547,0.1841373610434624,0.0452549333316172,13,31,F
91,1024545.0,0.0,0.033663,0.5911523216455128,0.0619011777932526,11,36,M
92,2885034.0,0.0,0.081715,0.2030068036045929,0.1068348338281431,10,32,F
93,2724467.0,21241.0,0.08097,0.190888705989614,0.1017307882646137,5,31,M
94,2199775.0,7419.0,0.037536,0.4362925960242755,0.1510006833782102,14,24,M
95,4514479.0,31248.0,0.035375,0.4441497654828791,0.0814160338266203,4,26,M
96,3236831.0,27260.0,0.10386,0.4922656341172464,0.0275625908697066,6,37,M
97,6230710.0,0.0,0.02612,0.1759971125636375,0.1435340935910936,9,37,M
98,7018127.0,55287.0,0.007716,0.0485613320279873,0.0786194871631426,17,28,M
99,2166231.0,18525.0,0.023042,0.3672004269904201,0.0790617646935176,13,24,F
100,213.0,76596.0,0.027529,0.1973284899156687,0.1038154039756273,13,26,F
101,2574457.0,0.0,0.011558,0.1807002240908805,0.1035348760326746,14,32,M
102,348400.0,0.0,0.00779,0.3668060890553629,0.0459420667428965,17,33,F
103,1924318.0,24145.0,0.04613,0.5687241746974456,0.0930511301195188,14,27,F
104,2410480.0,0.0,0.01954,0.2476139799485835,0.0820084872920982,2,33,F
105,1990586.0,30799.0,0.05118,0.0112459339103512,0.1019976482059547,13,40,F
106,7156098.0,0.0,0.052821,0.6896332710435635,0.1211436550419841,13,33,F
107,1940888.0,0.0,0.036658,0.1150291915792415,0.1387242618825487,12,30,M
108,1287737.0,79196.0,0.020158,0.404887715184088,0.0903159750496614,3,30,F
109,2113617.0,0.0,0.096203,0.4278436517903936,0.0563620861115276,15,20,F
110,1465145.0,51272.0,0.069013,0.3635738098029522,0.0866893489458116,12,27,M
