ключ_клиента,total_spend,total_cashback,avg_cashback_rate,supermarket_share,diversity_score,n_active_categories,возраст,пол
1889,5966782.0,137226.0,0.022998326401065097,0.40176245755249645,0.09563512852600946,14,50.0,M
2213,891732.0,63120.0,0.07078359865968699,0.0060399312798015544,0.17276328395109034,6,52.0,F
191765,1355680.0,19602.0,0.014459164404579252,0.4742232680278532,0.12674330581428522,13,47.0,F
256820,2612199.0,42861.0,0.016408014856448532,0.1976442070454816,0.08421405715664124,12,43.0,M
282534,2826693.0,26613.0,0.00941488870563588,0.35148670195171533,0.09474168451509353,13,36.0,M
283148,2906075.0,24195.0,0.008325662620544893,0.3997326290615349,0.12009292370347098,10,43.0,F
286878,859196.0,23493.0,0.02734300439015079,0.24069362520309684,0.08975521325892276,9,43.0,M
331214,1753394.0,15792.0,0.009006532473591218,0.5717363011393902,0.13548913240738553,16,40.0,M
378992,1058376.0,18000.0,0.017007188371618406,0.19946502944133276,0.09117751559508,14,38.0,F
405465,1473654.0,22749.0,0.01543713788989817,0.14209644869148388,0.08760259787429586,13,39.0,F
582257,9094746.0,47391.0,0.005210810725225311,0.08445238602595388,0.17620755610646616,13,36.0,M
591646,4185638.0,41187.0,0.009840076948842685,0.009546692762250343,0.11258998398971472,12,41.0,M
653852,2573929.0,20316.0,0.007892991609325665,0.39598838973413797,0.0952788855889251,12,57.0,M
692721,1090905.0,13236.0,0.01213304549892062,0.5545689129667569,0.13228262982856082,13,39.0,F
774127,874195.0,17223.0,0.01970155400110959,0.08233403302466841,0.15219806157220916,7,60.0,F
861276,2128938.0,51867.0,0.024362851337145563,0.2843976668179158,0.11817540277067283,13,38.0,F
935564,2913471.0,36399.0,0.012493345566164894,0.20023298670211578,0.11739141716042999,12,49.0,M
941567,3438026.0,108240.0,0.0314831825006559,0.0659759408451245,0.15270888207402541,13,44.0,M
969180,1805566.0,17127.0,0.00948566820598084,0.34098116601663964,0.09423672869213344,14,50.0,M
983133,2958734.0,22812.0,0.00771005436784787,0.09411153554189056,0.09562231349131164,13,47.0,F
1015614,3709953.0,43443.0,0.011709851849875188,0.4732528956566296,0.1170928075355879,15,40.0,M
1041833,2122337.0,26220.0,0.012354305654568526,0.2591694909903564,0.09264960474551559,12,53.0,M
1068166,5703901.0,22539.0,0.003951506170952125,0.10958465092574363,0.1651951472292815,11,41.0,M
1104727,1405156.0,23715.0,0.016877129656778324,0.19521675885097456,0.09839197649445675,12,43.0,M
1105789,380269.0,49560.0,0.13032879356455562,0.004254882727753248,0.14559314813281174,6,38.0,M
1107113,2592958.0,77031.0,0.029707770044867677,0.18319463716728154,0.09635705257623924,15,36.0,F
1116891,1909195.0,15600.0,0.008170983058304679,0.296867004156202,0.08722761909085404,13,40.0,M
1117198,1615110.0,15447.0,0.009564054460686889,0.5595129743484963,0.1379912648844018,12,37.0,M
1127862,883704.0,16041.0,0.018152005648950326,0.5021624887971537,0.12350943083236163,11,41.0,M
1132019,758808.0,15189.0,0.02001692127652845,0.09811045745432309,0.09557217995587036,9,42.0,F
1143225,4022577.0,72648.0,0.018060064481052816,0.22531054097907882,0.07597988873121685,12,43.0,M
1147740,2670356.0,24906.0,0.009326846308132698,0.2604023583372404,0.08242512426944158,13,39.0,F
1151465,807074.0,34372.0,0.04258841196718021,0.7362360824410153,0.17622662867588892,8,52.0,M
1157449,3008687.0,83079.0,0.027613041835192562,0.4016642475604807,0.15178925352254793,12,55.0,M
1165152,3830542.0,40515.0,0.01057683220807917,0.021466936010621995,0.1478221061522341,13,37.0,M
1174789,4417813.0,90423.0,0.020467819710793554,0.2874243432214084,0.08334297006168735,13,45.0,M
1189277,2797419.0,43947.0,0.01570983824732727,0.2126217059367939,0.10570756032184389,11,50.0,M
1213620,1341926.0,38535.0,0.02871618852306312,0.45988005299845147,0.11433028516038063,9,55.0,M
1240812,4828140.0,31449.0,0.0065136885011619385,0.1718891747132436,0.13256827699887572,13,39.0,M
1241192,2634249.0,20628.0,0.007830694820421305,0.3189113861294054,0.08106673853174469,15,38.0,M
1249615,2017680.0,17196.0,0.008522659688354943,0.3153453471313588,0.0860793830448238,11,40.0,M
1267098,2934837.0,27510.0,0.009373604053649317,0.6795014510175522,0.16186909473405484,12,43.0,M
1282702,3370930.0,25929.0,0.007691942579644193,0.2724791081392969,0.09829941809425291,12,37.0,M
1311845,1312325.0,19317.0,0.014719676909302192,0.24648391214066637,0.08136229471062746,14,39.0,M
1312745,3683287.0,17775.0,0.004825852560498272,0.7561772948999087,0.18144478208204912,11,39.0,M
1399156,2614814.0,14034.0,0.0053671121540576116,0.34695928658787967,0.15208425112311097,7,42.0,M
1404406,15023.0,21228.0,1.4130333488650735,0.39692471543633095,0.14973804218690778,3,35.0,F
1408326,4119107.0,124578.0,0.030243933940050597,0.2825731402461747,0.09732050311416497,10,42.0,M
1441217,2806200.0,19290.0,0.006874064571306393,0.4675967500534531,0.11401372874222533,12,38.0,M
1447265,2333742.0,33129.0,0.01419565658928879,0.1512793616432322,0.0797712004041448,13,40.0,F
1469257,1041888.0,23325.0,0.022387243158573666,0.43454862710771214,0.12664225260044104,7,49.0,M
1472167,5813695.0,21456.0,0.00369059608390189,0.05905280548773199,0.21966310639480785,10,50.0,M
1489806,1637943.0,20274.0,0.012377720103813137,0.4528374919029539,0.1102511102281775,11,52.0,M
1511461,26055.0,0.0,0.0,0.09821531375935522,0.1989618893472677,3,49.0,M
1529114,1530441.0,26313.0,0.01719308356218894,0.39008429596436583,0.1166584893843843,12,37.0,F
1531513,1453728.0,17376.0,0.011952717427194084,0.37643355565827996,0.1056724883685292,12,39.0,M
1537288,1916091.0,30726.0,0.01603577283124862,0.24496018195377986,0.08681613164239368,13,38.0,M
1538268,559720.0,19710.0,0.03521403558922318,0.5292003144429358,0.1322403305516015,10,37.0,M
